Event,title,composer,code
931-Mixed Chorus,Sing On This Festive Day (14997),Arcadelt/Liebergen,
931-Mixed Chorus,Let the Song Begin (22765) (SATB) (a cappella),Moore,
931-Mixed Chorus,Bonzorno Madonna (18233),Scandello/Leavitt,
931-Mixed Chorus,Alleluia,Hagenberg,
931-Mixed Chorus,Salmo 150 (11602) (a cappella),Aguiar,
931-Mixed Chorus,Ani Maamin (22802) (SATB) (solo violin) (accomp),Traditional Jewish Folk Song/Coker,
931-Mixed Chorus,O occhi manza mia (11403) (Italian) (a cappella),di Lasso/Klein,
931-Mixed Chorus,Tambourica (11332) (SAB) (accomp),Anon. or Trad./Kirk,
931-Mixed Chorus,Didn't My Lord Deliver Daniel,Emerson,
931-Mixed Chorus,Amavolovolo,de Beer,
931-Mixed Chorus,Today We Shall Be Merry,Vecchi Arranged by Porterfield,
931-Mixed Chorus,Esto Les Digo,Lange,
931-Mixed Chorus,Al Shlosha D'varim,Allan E. Naplan,
931-Mixed Chorus,Hodie!,Leavitt,
931-Mixed Chorus,Ave Maria,Busto,
931-Mixed Chorus,Keep Your Lamps!,Thomas,
933-Tenor/Bass Chorus,Gloria,Giardiniere,
933-Tenor/Bass Chorus,Flying Solo (22729),Silvey/,
933-Tenor/Bass Chorus,Jubilate  Exsultate! (21979) (accomp),Johnson,
933-Tenor/Bass Chorus,Joshua Fit the Battle (20835),Traditional Spiritual/Gonzales,
933-Tenor/Bass Chorus,Let All Men Sing,Christopher,
933-Tenor/Bass Chorus,Ticket to the Kingdom (12811),Moore/,
933-Tenor/Bass Chorus,Down in the Valley (12900) (accomp),Anon. or Trad./Mead,
933-Tenor/Bass Chorus,Praise Him (22740) (TTBB) (accomp),Cox,
933-Tenor/Bass Chorus,Lacrimosa Menuet (20690) (TB opt divisi) (accomp),Jones,
933-Tenor/Bass Chorus,Do You Fear the Wind?,Sateren,
933-Tenor/Bass Chorus,Uji River,Ruth Morris Gray,
933-Tenor/Bass Chorus,The King of Love My Shepherd Is,Wilberg,
933-Tenor/Bass Chorus,Aura LeeTB,Emily Crocker,
933-Tenor/Bass Chorus,Laudate Dominum,Davison,
933-Tenor/Bass Chorus,Let All Men Sing,Christopher ,
933-Tenor/Bass Chorus,The Vagabond,Farnell,
933-Tenor/Bass Chorus,Psallite Hodie! ,Johnson,
935-Treble Chorus,Exsultate  Joyfully Sing,Wright,
935-Treble Chorus,Sisi Kushangalia,Johnson,
935-Treble Chorus,I Remember,Quartel,
935-Treble Chorus,Dance Into The Day (17861),Patterson/,
935-Treble Chorus,Murasame,Johnson,
935-Treble Chorus,Dancing-Song (12510),Anon. or Trad./Kodaly,
935-Treble Chorus,Lascia Chio Pianga (from Two Handel Classics) (12174) (SA) (accomp),Handel/Perry,
935-Treble Chorus,Gloria Festiva (12283) (Latin) (accomp),Crocker,
935-Treble Chorus,Deo Gracias,Leininger,
935-Treble Chorus,Coffee Grows on White Oak Trees (12162),Anon. or Trad./Fischer,
935-Treble Chorus,Come At Dawn  My Beloved (from Three Spanish Ballads) (12280),Traditional/Butler,
935-Treble Chorus,Gloria Fanfare (16694) (SSA)(a cappella or accomp) (accomp),Farnell,
935-Treble Chorus,Laudamus Te (22849) (2 part with descant) (accomp),Crocker,
935-Treble Chorus,O Salutaris (from Messe Breve) (15358) (Latin) (opt string orchestra) (accomp),Delibes/Haberlen/Krunnfusz,
935-Treble Chorus,Sigh No More  Ladies (16334) (SSA) (opt a cappella) (accomp),Spevacek,
935-Treble Chorus,Lorelei (20818) (SSA)(perform in German) (accomp),C Schumann/Williams,
935-Treble Chorus,The Seal Lullaby (19568) (SSA) (accomp),Whitacre,
935-Treble Chorus,She Sings (18530) (SSA) (accomp),Bernon,
935-Treble Chorus,Je Le Vous Dirai,Certon/Leavitt,
935-Treble Chorus,Exaudi! Laudate!,Patton,
935-Treble Chorus,Antiphonal Kyrie (17826) (SA) (a cappella),Thrift,
935-Treble Chorus,Song of Miriam (22022) (accomp),Hagenberg,
935-Treble Chorus,Do Not Stand at My Grave and Weep,Laura Farnell,
935-Treble Chorus,Romance (16756) (SSA) (accomp),Debussy/Raines,
935-Treble Chorus,Murasame,Victor C. Johnson,
935-Treble Chorus,Let Me Fly (15329) (SA divisi) (accomp),Anon. or Trad./Miller,
935-Treble Chorus,Gold And Silver (12370) (SSAA) (a cappella),Hayes,
935-Treble Chorus,Something Told the Wild Geese,Porterfield,
935-Treble Chorus,Gloria ,Krunnfusz,
935-Treble Chorus,Soy un Coya Chiquitito,Trobaugh,
931-Mixed Chorus,Confitemini Domini,Greg Gilpin,
933-Tenor/Bass Chorus,The Rail Worker,Winebrenner,
933-Tenor/Bass Chorus,From First Songs for the Emerging Tenor-Bass Choir  we are singing 3. Gloucester Moors ,Mark Patterson,
933-Tenor/Bass Chorus,Benedictus (15220) (accomp),Schram,
933-Tenor/Bass Chorus,O Sing to the Lord,Davison,
933-Tenor/Bass Chorus,Three Latin Songs (18500) Gloria Deo!,Farnell/,
933-Tenor/Bass Chorus,All the World was Made for Me (17784) (TB)(a cappella or accomp) (a cappella),Farnell,
933-Tenor/Bass Chorus,Didnt My Lord Deliver Daniel (22709) (TB) (accomp),Traditional Spiritual/Gilpin,
933-Tenor/Bass Chorus,Sinner Man (17788) (TB) (accomp),Anon. or Trad./Emerson,
933-Tenor/Bass Chorus,Cover Me With the Night,Andrea Ramsey,
933-Tenor/Bass Chorus,Sinner Man,Emerson,
933-Tenor/Bass Chorus,Benedictus (15220),Schram,
933-Tenor/Bass Chorus,Benedictus,Ruth Schram,
933-Tenor/Bass Chorus,Sea Remembrance (17787) (TB) (a cappella or accomp)(a cappella),Farnell,
935-Treble Chorus,Dodi Li,Doreen Rao,
935-Treble Chorus,Soy un Coya Chiquitito (22823) (2 part) (accomp),South American Folksong/Trobaugh,
935-Treble Chorus,Mai ist wonniglich entsprossen (The Lovely Month of May) (12018) (German or English) (unison) (a cappella),Anon. or Trad.,
935-Treble Chorus,Two A Cappella Italian Folk Songs for Emerging Treble Choir: Farfallina,Christi Jones,
935-Treble Chorus,Zum Gali Gali (12036) (a cappella),Anon. or Trad./Terri,
935-Treble Chorus,Prettier Far than These (16921) (unison opt 2 part) (accomp),Beery,
935-Treble Chorus,Give Thanks and Praise (12084),Handel/Kihlken,
935-Treble Chorus,Chantons (O Sing),Lully/Liebergen,
935-Treble Chorus,Skye Boat Song (16920),Anon. or Trad./Gilpin,
935-Treble Chorus,Love In Thy Youth,Emily Crocker,
935-Treble Chorus,Something Told the Wild Geese (12096) (SA) (accomp),Anon. or Trad./Porterfield,
935-Treble Chorus,Evry Time I Feel the Spirit (16377) (SSA) (accomp),Anon. or Trad./Townsend,
935-Treble Chorus,Jubilate Deo from Two Latin Settings,Mark Patterson,
935-Treble Chorus,I Want to Rise,Weston,
935-Treble Chorus,Une Poule Blanche (Two French Hens from Deux Poules Francaises) (15318),Anon. or Trad./Donahue,
935-Treble Chorus,The Tide Rises  the Tide Falls (24263),Johnson,
935-Treble Chorus,Who has seen the wind?,Mary Lynn Lightfoot,
935-Treble Chorus,From Three Madrigals:  O Mistress Mine  Where are You Roaming (18522) (SA) (accomp),Diemer,
935-Treble Chorus,Gloria Festiva,Emily Crocker,
931-Mixed Chorus,Lacrimosa Menuet,Christi Jones,
933-Tenor/Bass Chorus,Kyrie Eleison (18503) (TB) (accomp),Davison,
933-Tenor/Bass Chorus,Come Sail Away with Me,Patterson,
933-Tenor/Bass Chorus,From Three Latin Songs 'I- Gloria Deo' ,Laura Farnell,
933-Tenor/Bass Chorus,Set Me As a Seal Upon Your Heart	,Farnell,
933-Tenor/Bass Chorus,Cantate Domino (17792) (TTB)(accomp opt) (a cappella),Farnell,
933-Tenor/Bass Chorus,The Whalers Rhyme (15214) (accomp),Anon. or Trad./Erikson,
933-Tenor/Bass Chorus,The Shepherd's Spiritual ,Moore,
933-Tenor/Bass Chorus,Medieval Gloria,Vijay Singh,
933-Tenor/Bass Chorus,Going Down to Cairo,Williams,
933-Tenor/Bass Chorus,Gloria (17794) (TB) (accomp),Davison,
933-Tenor/Bass Chorus,Donkey Riding (12613) (accomp),Anon. or Trad./Follett,
933-Tenor/Bass Chorus,16 Great Big House in New Orleans (from Two-Part American Songs Book Two) (15224) (2 part) (a cappella),Williams,
933-Tenor/Bass Chorus,Hurling Down the Pine	,Winebrenner	,
933-Tenor/Bass Chorus,Sing to the Lord,Crocker,
933-Tenor/Bass Chorus,Sea Remembrance,Laura Farnell,
933-Tenor/Bass Chorus,Go Down Moses (12746) (TBB) (accomp),Anon. or Trad./Follett,
935-Treble Chorus,Talliss Canon (12033) (w/ or w/o accomp) (SA) (a cappella),Tallis/Appleby/Fowler,
935-Treble Chorus,Songs of a Starry Night, ,
935-Treble Chorus,Didnt My Lord Deliver Daniel,Emerson,
935-Treble Chorus,Au clair de la lune (12109) (SSA ONLY) (a cappella),Anon. or Trad./Crocker,
935-Treble Chorus,Au clair de la lune	,Corckett,
935-Treble Chorus,Hush  My Babe (12181) (SA) (accomp),Koudelka/Bacon,
935-Treble Chorus,Morning (18516) (SA) (accomp),Gardner,
935-Treble Chorus,Shenandoah (17839),Anon. or Trad./Farnell,
935-Treble Chorus,Pie jesu (16994) (SSA) (accomp),Lightfoot,
935-Treble Chorus,In Te Speravi,Cristi Jones,
935-Treble Chorus,Harps and Wheels (16885),Anon. or Trad./Martin,
935-Treble Chorus,Curiosity,Bernon,
935-Treble Chorus,Sleep  Gently Sleep (Wiegenlied) ,Brahms/Harris,
935-Treble Chorus,Sing A Jubilant Song ,Perry,
935-Treble Chorus,The Mending Song,Daniel Kallman,
935-Treble Chorus,Gloria,Noah Reese,
935-Treble Chorus,Gerakina,Leck,
935-Treble Chorus,Something Told the Wild Geese,Porterfield ,
935-Treble Chorus,14. Bought Me a Cat (from Two-Part American Songs  Book Two) (15341) (a cappella),Williams,
935-Treble Chorus,Who Has Seen the Wind (22820) (unison) (opt 2 part) (accomp),Patterson,
935-Treble Chorus,Sing With Pleasure,Liebergen,
935-Treble Chorus,Captain's Mate,Besig,
935-Treble Chorus,Two Roses,Bartok,
935-Treble Chorus,Sing To Me,Andrea Ramsey,
935-Treble Chorus,Something Told The Wild Geese,Porterfield,
935-Treble Chorus,Gerakina (18285) (SSA) (accomp),Anon. or Trad./Leck,
935-Treble Chorus,The Rivers are Running Again (18525) (SA) (accomp),Bernon,
931-Mixed Chorus,Domine Fili Unigenite (from Gloria) (11751) (Latin) (accomp),Vivaldi/Kjelson/Thomas,
931-Mixed Chorus,Ma Navu,Audrey Snyder,
931-Mixed Chorus,Jubilate Deo,Peter Anglea,
931-Mixed Chorus,The Ash Grove,Arr. Philip Lawson,
931-Mixed Chorus,Canticum Novum (22763) (3 part mixed) (accomp),Beck,
931-Mixed Chorus,Elijah Rock,Emerson,
933-Tenor/Bass Chorus,A Festive Alleluia (19397) (accomp),Lightfoot,
933-Tenor/Bass Chorus,I. The Ceremony (from A Trilogy of Knighthood),Bray,
933-Tenor/Bass Chorus,None of Us Cared for Kate (17785) (TB)(a cappella or accomp) (a cappella),Farnell,
933-Tenor/Bass Chorus,Lil Liza Jane (15237) (TTB changing voices) (a cappella),Anon. or Trad./Krunnfusz,
