Event,title,composer,code
933-Tenor/Bass Chorus,Come On  Boys,Bailey,
933-Tenor/Bass Chorus,All Night Today (All Nonsense),Jones,
933-Tenor/Bass Chorus,Whenever the Wind is High,Todd McNeal,
933-Tenor/Bass Chorus,Sing to the Lord (12678) (a cappella),Crocker,
933-Tenor/Bass Chorus,On The Last Train at Midnight,Patterson,
933-Tenor/Bass Chorus,New River Train,Moore,
933-Tenor/Bass Chorus,Three Latin Songs- #1 Gloria Deo,Laura Farnell,
935-Treble Chorus,Ain'a that Good News?,Patterson,
935-Treble Chorus,I. Benedicamus Domino (15425)  a cappella/percussion,Taylor,
935-Treble Chorus,Stars Are For Those Who Lift Their Eyes (12157) (2 or 3 part) (keyboard or guitar) (solo opt) (accomp),Delmonte,
935-Treble Chorus,Wade in the Water (opt solos),Traditional Spiritual/Davison,
935-Treble Chorus,Let Me Fly,Anon. or Trad./Miller,
935-Treble Chorus,Manx Lullaby,Lori-Anne Dolloff,
935-Treble Chorus,The Wanderer,Donnelly & Strid,
935-Treble Chorus,Ribbons in the Sky,Andy Beck,
935-Treble Chorus,All Join Hands,Triad/Crocker,
935-Treble Chorus,Yo Vivo Cantando,Estes,
935-Treble Chorus,Fuego!,Johnson,
935-Treble Chorus,The Fox,Richter-Shaeffer,
935-Treble Chorus,Lakeside Lullaby,Jacob Naverud,
935-Treble Chorus,Song of the River,Mark Patterson,
935-Treble Chorus,Pie Jesu (19566) (SA) (accomp),Traditional Latin/Johnson,
935-Treble Chorus,The Dream Keeper (from Trilogy of Dreams),Rollo Dilworth,
935-Treble Chorus,The Rainbow,Childs,
935-Treble Chorus,Ticket to the Kingdom,Donald Moore,
935-Treble Chorus,When I Am SIlent,Varner,
935-Treble Chorus,Indian Summer,Emily Crocker,
935-Treble Chorus,The Water is Wide,Ruth Elaine Schram,
935-Treble Chorus,Let Joy Awaken,Mark Patterson,
935-Treble Chorus,Ndikhokhele Bawo,Michael Ryan,
935-Treble Chorus,Didn't My Lord Deliver Daniel,Emerson,
935-Treble Chorus,Come in from the Firefly Darkness,Bernon,
931-Mixed Chorus,Earth Song (17750) (SATB) (a cappella),Ticheli,
931-Mixed Chorus,Requiem,Gilkyson/Craig Hella Johnson,
931-Mixed Chorus,Betelehemu,Brooks,
931-Mixed Chorus,Ballade to the Moon (20812) (SATB) (accomp),Elder,
931-Mixed Chorus,El Vito,Traditional Spanish/Crocker,
931-Mixed Chorus,Viva! from Il re pastore,Mozart/Liebergen,
931-Mixed Chorus,O-Yo-Yo,Hatfield,
931-Mixed Chorus,Wade in the Water,Arr. Davison,
931-Mixed Chorus,Follow the River,Joseph Martin,
931-Mixed Chorus,Can't Buy Me Love,King's Singers/Keith Abbs,
931-Mixed Chorus,Then Will I Jehovahs Praise (11327) (2 part mixed) (accomp),Handel/Ehret,
931-Mixed Chorus,Cantique de Jean Racine Op. 11,Faure,
931-Mixed Chorus,Chorus of the Hebrew slaves,Guiselppe Verdi,
931-Mixed Chorus,In Stiller Nacht,Brahms/Weck,
933-Tenor/Bass Chorus,II. Lady  to the Flowers Go (from A Trilogy of Knighthood) (15255) (TTB) (accomp),Bray,
933-Tenor/Bass Chorus,What Shall We Do with a Drunken Sailor (16927) (TTBB) (accomp),Anon. or Trad./Eddleman,
933-Tenor/Bass Chorus,A Festive Alleluia (19397) (accomp),Lightfoot,
933-Tenor/Bass Chorus,Loch Lomond (TB) (accomp),Rentz,
933-Tenor/Bass Chorus,The Match Sellers,Adriano Banchieri,
935-Treble Chorus,O Vos Omnes (12375) (Latin) (SSAA) (a cappella),Juneau,
935-Treble Chorus,How Can I Keep From Singing (20808) (SS(A)A) (accomp),Walker,
935-Treble Chorus,? ?e??te?? t?? ???ta (Ksenitia tou ErotaThe Foreign Lands of Love) Amalgamation Choir,Giorgos Kalogerou/Vasiliki Anastatasiou,
935-Treble Chorus,She Sings...,Bernon,
935-Treble Chorus,Will the Circle Be Unbroken?,arr. J. David Moore,
935-Treble Chorus,Ad Astra,Naverud,
935-Treble Chorus,Three Ways to Vacuum Your House,Hatfield,
935-Treble Chorus,Kyrie,Porterfield,
935-Treble Chorus,Hey Ho  Nobodys Home (16343),Gilpin/,
935-Treble Chorus,Oh Shenandoah,Arranged by Dr. Cheryl Lindquist/Malcolm Nelson,
935-Treble Chorus,Holy Valley,Frank Ahrold,
931-Mixed Chorus,MLK,Chilcott,
931-Mixed Chorus,The Stars Are With the Voyager,Johnson,
931-Mixed Chorus,Miserere Nobis (11331) (Latin) (SAB) (accomp),Johnson,
931-Mixed Chorus,I Know Where I'm Goin',J. Moore,
933-Tenor/Bass Chorus,Hurling Down the Pine (22704) (TB) (accomp),Winebrenner,
933-Tenor/Bass Chorus,Aya Ngena,Arr. Ruth Morris Gray,
935-Treble Chorus,J'entend Le Mounlin,Crocker,
935-Treble Chorus,Say Good-bye,Gilpatrick,
935-Treble Chorus,Lift Up Your Voice: Kwa Maneno Nguvu (24253) (2 part) (opt. 3 part and opt. narraration) (accomp),DesJardins,
935-Treble Chorus,Dodi Li (12076),Chen/Rao,
935-Treble Chorus,The Cuckoo (12020) (w/ or w/o accomp) (SA) (accompanied),Anon. or Trad./Appleby/Fowler,
935-Treble Chorus,Morning Glory,Howard,
935-Treble Chorus,Confitemini Domino (18292),Drennan,
935-Treble Chorus,Who Has Seen the Wind (22820) (unison) (opt 2 part) (accomp),Patterson,
935-Treble Chorus,I'm Goin' Up a Yonder,Hawkins/arr. Sirvatka,
935-Treble Chorus,Will There Really Be A Morning? ,Johnson,
935-Treble Chorus,Shady Grove (with The Cuckoo),Anon. or Trad./Allsbrook/Goodin,
935-Treble Chorus,Didn't my Lord Deliver Daniel,Ken Berg,
935-Treble Chorus,Sleep  Gently Sleep (Wiegenlied),Brahms/Harris,
935-Treble Chorus,Bandyrowe,Brumfield,
935-Treble Chorus,Jazz Cantate,Gilpin,
931-Mixed Chorus,Consecrate the Place and Day,Pfautsch,
931-Mixed Chorus,El Vito,Crocker,
931-Mixed Chorus,Von Ewiger Liebe,Brahms/Raines,
931-Mixed Chorus,Salmo 150 (11602),Aguiar/,
931-Mixed Chorus,Viva! ,Mozart/Liebergen,
931-Mixed Chorus,Zum Gali,Maurice Goldman,
931-Mixed Chorus,Weep O Mine Eyes,Bennett,
931-Mixed Chorus,O Love,Hagenberg,
931-Mixed Chorus,Daemon Irrepit Callidus,Orban,
931-Mixed Chorus,Zion's Walls,Copland,
931-Mixed Chorus,Blow  Blow Thou Winter Wind,Rutter,
933-Tenor/Bass Chorus,Didnt My Lord Deliver Daniel?,Traditional Spiritual/Gilpin,
933-Tenor/Bass Chorus,Sometimes I Feel Like A Motherless Child,Lynn Shaw Bailey,
933-Tenor/Bass Chorus,Tshotsholoza (20852),Traditional/Ames,
933-Tenor/Bass Chorus,Rise Up  O Men of God (12854) (a cappella),Anon. or Trad./Jennings,
933-Tenor/Bass Chorus,Empty,Takach,
933-Tenor/Bass Chorus,Brothers  Sing On!,Grieg/McKinney,
933-Tenor/Bass Chorus,In Umbra (20803),Thomas,
933-Tenor/Bass Chorus,Stopping by Woods on a Snowy Evening (from Frostiana), ,
935-Treble Chorus,Obwisana,Victor Johnson,
935-Treble Chorus,Musics Echo (22859) (SSA) (percussion) (a cappella),Gilpin,
935-Treble Chorus,Exaudi! Laudate! (12457) (Latin) (accomp),Patton,
935-Treble Chorus,Alleluia! Sing Alleluia (20813) (SA) (accomp),Bach  J.S./Leavitt,
935-Treble Chorus,Viva! from Il re pastore (24271) (SSA) (Italian REQUIRED) (accomp),Mozart/Liebergen,
935-Treble Chorus,El Cielo Canta Alegria,Sosa/Bergs,
935-Treble Chorus,Soran Bushi,Stuart,
935-Treble Chorus,Hoj  Hura  Hoj (O Mountain  O),Macha,
935-Treble Chorus,The Snow (12549) (SSA) (vln and piano) (accomp),Elgar,
935-Treble Chorus,Danny Boy,Knowles,
935-Treble Chorus,Ad Astra (22876),Narverud/,
935-Treble Chorus,Dance on My Heart (12297),Koepke/,
935-Treble Chorus,The Bartered Bride (Opening Chorus),Emily Ellsworth,
935-Treble Chorus,Song of Ruth,David Childs,
935-Treble Chorus,Kuimba,Jonson,
935-Treble Chorus,Hodie (16351),Cobb/,
935-Treble Chorus,Flight Song,Kim Andre Arnesen,
935-Treble Chorus,J'entends Le Moulin,Sirett,
935-Treble Chorus,Crossing the Bar ,Walker,
935-Treble Chorus,Mouth Music,Keane/Faulkner,
935-Treble Chorus,Heart  We Will Forget Him! (16333),Farnell,
935-Treble Chorus,Widmung,Schumann/Mulholland,
935-Treble Chorus,Do Not Stand At My Grave And Weep,Farnell,
935-Treble Chorus,Lunar Lullaby,Naverund,
931-Mixed Chorus,Elijah Rock,Emerson,
931-Mixed Chorus,Psalm 150 ,Harper,
933-Tenor/Bass Chorus,Camptown Races,Music by Stephen Foster  Arr. by Jay Althouse,
933-Tenor/Bass Chorus,Sinner Man (17788),Anon. or Trad./Emerson,
933-Tenor/Bass Chorus,Keep A-Goin',Thomas,
933-Tenor/Bass Chorus,Fillimiooriay,Stuart P. O'Neil,
933-Tenor/Bass Chorus,Desperta Ferro! ,Christopher Fox,
933-Tenor/Bass Chorus,Keeo A-Goin',Thomas,
933-Tenor/Bass Chorus,Wade in the Water,Dan Davison,
933-Tenor/Bass Chorus,Jonah,Dillworth,
933-Tenor/Bass Chorus,The Vagabond (17790),Farnell/,
933-Tenor/Bass Chorus,Hand Me Down My Silver Trumpet (15219),Anon. or Trad./Moses,
935-Treble Chorus,Wade in the Water,Davison,
935-Treble Chorus,Tarantella (17018) (2 part) (accomp),Anon. or Trad./Bobetsky,
935-Treble Chorus,Non Si Ceda (19557) (SSA) (accomp),Mozart/Liebergen,
935-Treble Chorus,Zum Gali Gali (12036) (a cappella),Anon. or Trad./Terri,
935-Treble Chorus,Come in From the Firefly Darkness,Bernon,
935-Treble Chorus,O Lux Beatissima,Mark Patterson,
935-Treble Chorus,Can I Ride?,Shaw/Moore,
935-Treble Chorus,Hine Ma Tov,Naplan,
935-Treble Chorus,El cielo canta alegria,Sosa/Bergs,
935-Treble Chorus,Stodola Pumpa,Weston,
935-Treble Chorus,15. Going Down to Cairo (from Two-Part American Songs) (15342) (a cappella),Williams,
935-Treble Chorus,Hello Girls,Farnell,
935-Treble Chorus,Bhombela,Skaff,
935-Treble Chorus,Laudamus Te,Mozart/Friedersdorf/Keylock,
935-Treble Chorus,I Want to Rise (22825) (SA) (accomp),Weston,
935-Treble Chorus,Good Night (12099),Anon. or Trad./Rao,
935-Treble Chorus,Sonntag (Sunday) (12043),Brahms/,
935-Treble Chorus,I Want To Rise,Weston,
935-Treble Chorus,Bandyrowe,Susan Brumfeld,
935-Treble Chorus,Awake  awake to love and work ,Carlton R. Young,
935-Treble Chorus,A Festive Alleluia (21992) (SSA ONLY) (accomp),Lightfoot,
935-Treble Chorus,Didn't My Lord Deliver Daniel?,Gilpin,
935-Treble Chorus,Moon (from Three Spanish Ballads),Butler,
935-Treble Chorus,Dies Irae,Ryan Main,
935-Treble Chorus,Keep Your Lamps,Victor C. Johnson,
935-Treble Chorus,Murasame (18281),Johnson/,
935-Treble Chorus,Dance  Boatmen Dance (12103) (2 part) (solo) (accomp),Anon. or Trad./Scott,
935-Treble Chorus,Today  My Spirit Sings,Dave and Jean Perry,
935-Treble Chorus,El Cielo Canta Alegria!,Arr. Roger Bergs,
931-Mixed Chorus,Praise the Lord With Joyful Song	,Hopson,
931-Mixed Chorus,Sim Shalom,Lopes,
931-Mixed Chorus,Muie Rendera ,Fonseca,
931-Mixed Chorus,Let Us Cheer the Weary Traveler,Dett  R. Nathaniel,
931-Mixed Chorus,Jambo Rafiki, ,
931-Mixed Chorus,Rytmus,Hrusovsky,
933-Tenor/Bass Chorus,Be Thou My Vision ,Moyer,
933-Tenor/Bass Chorus,Jubilate Deo,Leavitt ,
933-Tenor/Bass Chorus,Benedicamus Domino (22723) (TB) (divisi) (accomp),Juneau,
933-Tenor/Bass Chorus,Home ,Julie Flanders  and ,
933-Tenor/Bass Chorus,Dover Beach (25224) (accomp),Tompkins and Dame,
935-Treble Chorus,O Love,Hagenberg,
935-Treble Chorus,This Little Babe,Britten,
935-Treble Chorus,Storm,Desjardin,
935-Treble Chorus,Now Spring In All Her Glorry,Crocker,
935-Treble Chorus,Rain,Julie Flanders and  Emil Adler,
933-Tenor/Bass Chorus,Ubi Caritas ,Reid ,
933-Tenor/Bass Chorus,In Everything Her Loveliness (22702) (TB) (accomp),Courtney,
933-Tenor/Bass Chorus,The Little Book Spiritual (15241) (a cappella),Anon. or Trad./Moore,
933-Tenor/Bass Chorus,Steal Away (12774) (TTB or TBB) (a cappella),Anon. or Trad./Siltman,
935-Treble Chorus,Johnny Said No! (16995) (SSA) (a cappella),Singh,
935-Treble Chorus,Ombra Mai Fu (21990) (accomp),Handel/Leck,
935-Treble Chorus,Shule Aroon (22868),Traditional Irish Folk Song/Schram,
935-Treble Chorus,Wake Me a Song,Andrea Ramsey,
935-Treble Chorus,Oh  Dear! What Can the Matter Be (16922) (2 part) (accomp),Anon. or Trad./Mayo,
935-Treble Chorus,Lineage,Ramsey,
935-Treble Chorus,Joshua! (Fit the Battle of Jericho),Kirby Shaw,
935-Treble Chorus,You Are the Song (22883) (SSA) (accomp),Narverud,
935-Treble Chorus,II. Cantate Domino (from Benedicamus Domino) (15426) (percussion) (a cappella),Taylor,
931-Mixed Chorus,Praising Song (11401) (a cappella),Curtis,
931-Mixed Chorus,I Got A Key,Stacey Gibbs,
931-Mixed Chorus,Mon-Ke-Ya,Taylor,
931-Mixed Chorus,Skye Boat Song (14985) (SSATB  opt solo) (accomp),Anon. or Trad./Althouse,
931-Mixed Chorus,Dreams of Thee,Eric William Barnum,
931-Mixed Chorus,Blow  blow  thou Winter wind (19548),Rutter,
931-Mixed Chorus,Autumn Vesper,Audrey Snyder,
931-Mixed Chorus,Over the Sea to Skye (11255),Jothen,
931-Mixed Chorus,Measure Me  Sky,Jonathan Reid,
931-Mixed Chorus,Steal Away,Quigley/,
931-Mixed Chorus,Didn't My Lord Deliver Daniel,Roger Emerson,
931-Mixed Chorus,Freedom  Come for Me,Patti Drennan,
931-Mixed Chorus,Shout for Joy!,Davison,
931-Mixed Chorus,Benedictus,Haydn/Liebergen,
933-Tenor/Bass Chorus,Sansa Kroma,Crocker,
933-Tenor/Bass Chorus,Fight the Good Fight (20729),Gardner,
933-Tenor/Bass Chorus,These Things Shall Never Die,Burrows,
933-Tenor/Bass Chorus,Hey Ho  Nobodys Home (16344),Anon. or Trad./Gilpin,
933-Tenor/Bass Chorus,Nine Hundred Miles,Silvey,
933-Tenor/Bass Chorus,I Would Be True,Patterson,
935-Treble Chorus,Jazz-Man (from Friday Afternoons) (12149) (unison) (accomp),Britten,
935-Treble Chorus,Nothin' Gonna Stumble My Feet,Gregg Gilpin,
935-Treble Chorus,Panta Rhei (All Things are in Flux),J. Papoulis/F. Nuñes,
935-Treble Chorus,Do Not Stand At My Grave and Weep ,L. Farnell,
935-Treble Chorus,La Paloma,Grases,
935-Treble Chorus,Sisi Kushangilia,Victor C. Johnson,
935-Treble Chorus,For the beauty of the earth,J.Leininger,
935-Treble Chorus,Koowu,Khoury,
935-Treble Chorus,He's Gone Away,Schram,
935-Treble Chorus,Sunset,Schram,
935-Treble Chorus,Cara Mamma,Laura Farnell  arr.,
933-Tenor/Bass Chorus,The Drummer and the Cook,Gary Parks,
933-Tenor/Bass Chorus,Gloria ,Daniel Arredondo ,
933-Tenor/Bass Chorus,Didn't My Lord Deliver Daniel,Gilpin,
935-Treble Chorus,Jubilate Deo ,Doreen Rao,
935-Treble Chorus,Lil Liza Jane,Jay Althouse,
935-Treble Chorus,Night Winds,Farnell,
935-Treble Chorus,The Poet Sings,Stroope,
935-Treble Chorus,Cantate Domino (15354) (accomp),Cobb,
935-Treble Chorus,Antiphonal Hosanna,Leavitt,
935-Treble Chorus,Indian Summer ,Emily Crocker,
935-Treble Chorus,Hold On,V. Johnson,
935-Treble Chorus,Dodi Li (12076) (SA  solo opt),Chen/Rao,
931-Mixed Chorus,The Ghost Ship (from Reflections of a Lad at Sea) (15568) (SA) (accomp),Anon. or Trad./Besig,
931-Mixed Chorus,Sing On This Festive Day (14997) (SAB) (opt hand drum and finger cymbals or triangle) (a cappella),Arcadelt/Liebergen,
933-Tenor/Bass Chorus,Come On  Boys,Lynn Shaw Bailey,
933-Tenor/Bass Chorus,Green Grow the Rashes,Winebrenner,
933-Tenor/Bass Chorus,Jonah! (22712),Dillworth/,
933-Tenor/Bass Chorus,Who Will Be A Witness,Moore,
933-Tenor/Bass Chorus,Captain Fate (from ,Peter Schickele,
935-Treble Chorus,Shady Grove,Dougherty/Snyder,
935-Treble Chorus,Born Born in Bethlehem,Moore,
935-Treble Chorus,Spring Quiet,Crocker/Leavitt,
935-Treble Chorus,If I Could Be a Shepherd,Eugene Butler,
935-Treble Chorus,Where Go The Boats?,Alton Rinker,
935-Treble Chorus,Danny Boy,Carl Strommen,
935-Treble Chorus,Pie Jesu (from Requiem) (12083),Faure/Busch,
935-Treble Chorus,Isabel and the Bear,Ramsey,
935-Treble Chorus,The Sally Gardens,Arr by Benjamin Britten,
931-Mixed Chorus,The Wellerman,arr. Jacob Narverud,
931-Mixed Chorus,Hope Is the Thing With Feathers (11330) (SAB) (accomp),Hollmann,
931-Mixed Chorus,Beyond the Silver Mountains (22750),Wagner,
931-Mixed Chorus,In Paradisum,Stroope,
931-Mixed Chorus,Ad Astra, ,
931-Mixed Chorus,You Do Not Walk Alone,Elaine Hagenberg,
931-Mixed Chorus,Good News  The Chariot's Coming,Hogan,
931-Mixed Chorus,Remembering Decembers,PINKZEBRA,
931-Mixed Chorus,Great DAy ,Dillworth,
931-Mixed Chorus,Joshua Fit The Battle of Jericho,Pat Willet,
931-Mixed Chorus,Connected,Tate,
931-Mixed Chorus,Go Ye Now in Peace,Joyce Eilers,
931-Mixed Chorus,Wangolo,Gray,
931-Mixed Chorus,Yo le canto todo el dia,Brunner,
933-Tenor/Bass Chorus,The Vagabond (22725) (TBB) (accomp),Vaughan Williams/Lewis,
933-Tenor/Bass Chorus,The Cuckoo,Appleby/Fowler,
933-Tenor/Bass Chorus,Lunar Lullaby,Narverud,
933-Tenor/Bass Chorus,Gloria in Excelsis Deo,Dent,
935-Treble Chorus,Music Down In My Soul,Moses Hogan,
935-Treble Chorus,Set Me As a Seal (11268) (SSA)(accomp or accapella) (a cappella),Leavitt,
935-Treble Chorus,Wade In The Water,Davison,
935-Treble Chorus,Apple-Tree Wassail,Hatfield,
935-Treble Chorus,Shenandoah,Arr. Laura Farnell,
935-Treble Chorus,Kidsong ,Caldwell  Stephen,
935-Treble Chorus,Howdidow  Deediddleumday,Courtney,
935-Treble Chorus,Plena,D Saez,
931-Mixed Chorus,J'entends le Moulin,Trad/arr. Emily Crocker,
931-Mixed Chorus,Somebody Got Lost,Ruth Schram,
933-Tenor/Bass Chorus,Filimiooriay,Stuart ONeil,
933-Tenor/Bass Chorus,Lightning!,Gilpin,
933-Tenor/Bass Chorus,Battle Above the Clouds (22710) (TB) (opt violin) (accomp),Courtney,
935-Treble Chorus,Little David  Play on Your Harp,Rollo A. Dilworth,
935-Treble Chorus,The Wellerman,Emerson,
935-Treble Chorus,Shenandoah,arr. Farnell,
935-Treble Chorus,Howdidow  deediddleumday,Courtney,
935-Treble Chorus,Spring (12061) (SA) (a cappella),Gove,
931-Mixed Chorus,Roll  Jordan  Roll,Gray,
931-Mixed Chorus,Come to the Music,Joseph M. Martin,
931-Mixed Chorus,El Vito,Traditional/Hal Leonard,
931-Mixed Chorus,Cantemos Alleluia,Emily Crocker,
931-Mixed Chorus,Ani Maamin,Stephen Coker,
931-Mixed Chorus,Confitemini Domino,Greg Gilpin,
931-Mixed Chorus,Windy Nights,Gray,
931-Mixed Chorus,How Can I Keep From Singing (18254) (SATB) (divisi w/ descant) (a cappella),Lowry/Thomas,
931-Mixed Chorus,Ya Viene la Vieja (11524) (Spanish) (SAB or SATB) (w/ designated inst) (accomp),Anon. or Trad./Snyder,
931-Mixed Chorus,Good News  The Chariots Comin (15029) (SATB div) (a cappella),Anon. or Trad./Hogan,
931-Mixed Chorus,Mi Lagnero Tacendo,Mozart/Carl,
931-Mixed Chorus,Elijah Rock  Arr. Emerson,Spiritual  Arr. Emerson,
931-Mixed Chorus,In Youth is Pleasure (11476) (SAB) (accomp),Crocker,
931-Mixed Chorus,A Call For Peace,Jerry Estes,
931-Mixed Chorus,Wangolo,Schram ,
931-Mixed Chorus,Ching a ring chaw,Linda Spevacek-Avery,
931-Mixed Chorus,Blow  Thou Winter Wind (11917) (accomp),Butler,
931-Mixed Chorus,Aurora Borealis,Amy F. Bernon,
931-Mixed Chorus,Tuba,Michael Barrett,
931-Mixed Chorus,Ani Ma Amin (18232) (SAB) (piano or opt inst) (accomp),Anon. or Trad./Leavitt,
931-Mixed Chorus,Climbin' Up the Mountain Children,Rollo Dillworth,
933-Tenor/Bass Chorus,Omnia Vincit Amor,Michael John Trotta,
933-Tenor/Bass Chorus,Gaudeamus Hodie,Rentz,
933-Tenor/Bass Chorus,Stars I Shall Find (17806) (TTB) (accomp),Johnson,
933-Tenor/Bass Chorus,My Baby Sings Soprano,Jake Averitt,
933-Tenor/Bass Chorus,Three Latin Songs - Gloria Deo!,Laura Farnell,
933-Tenor/Bass Chorus,The Spirit of an Eagle ,Snyder ,
935-Treble Chorus,City Called Heaven,Poelinitz,
935-Treble Chorus,Down to the River to Pray ,arr. Morton,
935-Treble Chorus,Lunar Lullaby ,Narverud,
935-Treble Chorus,Always Sing Your Song,Victor Johnson,
935-Treble Chorus,Two Roses,Bartok/Schumann/Suchoff,
935-Treble Chorus,J'entends Le Moulin,Crocker,
935-Treble Chorus,My True Love Hath My Heart,Rutter,
935-Treble Chorus,My Lord What a Morning,Schram,
935-Treble Chorus,See the Gypsies (12380) (SSAA) (a cappella),Anon. or Trad./Kodaly,
935-Treble Chorus,Haba na Haba,Jerry Estes,
935-Treble Chorus,Jubilate Deo,Praetorius arr. Rao,
935-Treble Chorus,Old Joe Clark ,Rentz,
935-Treble Chorus,She Sings . . .,Bernon,
935-Treble Chorus,Lux Aeterna ,Z. Randall Stroope,
935-Treble Chorus,El Vito,Greg Gilpin,
935-Treble Chorus,Poor Wayfaring Stranger,Jones,
935-Treble Chorus,The Nightingale,Butler,
935-Treble Chorus,Sakura  Sakura,Wagner,
935-Treble Chorus,Arise (Summer Has Now Begun),Beck,
935-Treble Chorus,Hamisha Asar (16352) (SSA) (accomp),Jagoda/Page,
935-Treble Chorus,the/sky/was,E. E. Cummings/John Leavitt,
935-Treble Chorus,Mangwani Mpulele,Robert DeCormier,
935-Treble Chorus,The Symphony of Night ,Patterson,
935-Treble Chorus,We are the Dreamers ,Varner ,
935-Treble Chorus,Charlotte-Town,Crocker,
935-Treble Chorus,A Girl's Garden,Thompson,
931-Mixed Chorus,Non Nobis  Domine,Powell/Powell,
931-Mixed Chorus,Nine Hundred Miles,Philip E. Silvey,
931-Mixed Chorus,Ukholo Lwami/iSabata,Barrett/Manyathi,
931-Mixed Chorus,Hold Fast To Dreams (22790) (SATB) (accomp),LaBarr,
931-Mixed Chorus,Dies Irae,Jones,
931-Mixed Chorus,Didn't My Lord Deliver Daniel ,Anon. or Trad./Emerson,
931-Mixed Chorus,Cum Sancto Spiritu,Lotti Liebergen,
931-Mixed Chorus,Agnus Dei,Audrey Snyder,
933-Tenor/Bass Chorus,Journeyman's Song,Braden Ayres,
933-Tenor/Bass Chorus,Vive la Compagne!,Snyder,
933-Tenor/Bass Chorus,Go  Lovely Rose,Earlene Rentz,
933-Tenor/Bass Chorus,Gloria in Excelsis Deo (from Gloria) (16774) (TTB) (accomp),Vivaldi/Porterfield,
933-Tenor/Bass Chorus,O Sing to the Lord (22713),Davison/,
935-Treble Chorus,Jubilate!,Curtright,
935-Treble Chorus,El Jarabe Tapatio,arr. Noble,
935-Treble Chorus,The Arrow and the Song,Matthews,
935-Treble Chorus,Arise My Love (20841) (SSA) (accomp),Szymko,
935-Treble Chorus,Soon Ah Will Be Done,arr. Farrell & Shelley J. Smith,
935-Treble Chorus,1941,Ramsey,
935-Treble Chorus,Shlof  Mayn Fegele,Kesselman,
935-Treble Chorus,The Arrow and the Song (15315),Beery/,
935-Treble Chorus,Creo en Dios,Nunez,
935-Treble Chorus,The Lake Isle of Innisfree (19567),Daley/,
935-Treble Chorus,Dominus Vobiscum,Narverud,
935-Treble Chorus,Juego a que me quemo,Gomez Giraldo,
935-Treble Chorus,Forget Not My Heart (22004),Parker/Courtney/,
935-Treble Chorus,There Will Be Stars,Daniel Schreiner,
931-Mixed Chorus,There Will Be Rest (16855) (SATB div) (a cappella),Ticheli,
931-Mixed Chorus,Muie Rendera,Fonseca,
931-Mixed Chorus,Soon-Ah Will Be Done,W. Dawson,
931-Mixed Chorus,The Blue Ridge,Elaine Hagenberg,
931-Mixed Chorus,Ain't Judgin' No Man,Gilpin,
931-Mixed Chorus,Measure Me  Sky!,Jonathan Reid,
931-Mixed Chorus,Pilgrims' Hymn,Paulus,
931-Mixed Chorus,Qui Sedes (15146),Fritschel/,
933-Tenor/Bass Chorus,O Love,Hagenberg,
933-Tenor/Bass Chorus,Exsultate justi in Domino (16844),Adams/,
933-Tenor/Bass Chorus,The Stars Are With the Voyager (20728),Daley/,
933-Tenor/Bass Chorus,Mon Coeur se Recommande A Vous,Liebergen,
933-Tenor/Bass Chorus,Not One Sparrow is Forgotten,Ijames,
933-Tenor/Bass Chorus,The Quest Unending (16768),Martin/,
935-Treble Chorus,To Agni,Holst  Gustav,
935-Treble Chorus,I Thank You God (17875) (SSA) (accomp),Walker,
935-Treble Chorus,Where the Light Begins,LaBarr,
935-Treble Chorus,Until Even the Angels ,Craig Hella Johnson,
935-Treble Chorus,Give Me Jesus,Spiritual/Reginal Wright,
935-Treble Chorus,Be Still,Ramsey,
935-Treble Chorus,Dies Irae,Z Randall Stroope,
935-Treble Chorus,Esto Les Digo (16757),Lange/,
935-Treble Chorus,The Look,Chydenius,
935-Treble Chorus,Your Voice is the Wind,Amy F. Bernon,
933-Tenor/Bass Chorus,Joshua Fit the Battle,Greg Gilpin,
933-Tenor/Bass Chorus,Gloria Deo,Farnell,
933-Tenor/Bass Chorus,Calypso Gloria,Donald Moore,
933-Tenor/Bass Chorus,I'm Bound Away,Mark Patterson,
933-Tenor/Bass Chorus,Fugue for Tinhorns,Leosser,
933-Tenor/Bass Chorus,Carry Me Home,Thrift,
933-Tenor/Bass Chorus,Debka Hora,IsraeliFolk tune,
933-Tenor/Bass Chorus,Lil'  Liza Jane,Baas & James,
933-Tenor/Bass Chorus,Pirate Story,Mark Burrows,
933-Tenor/Bass Chorus,Come Travel With Me (15261) (TTB) (accomp),Farthing,
933-Tenor/Bass Chorus,None of Us Cared for Kate,Laura Farnell,
935-Treble Chorus,Lightning,Gilpin,
935-Treble Chorus,Windy Nights,Aamot,
935-Treble Chorus,The Mermaid's Lament,Joseph Martin,
935-Treble Chorus,Gloria! (SA) (accomp),D. Farrell Smith,
935-Treble Chorus,Song of the River (16924),Anon. or Trad./Patterson,
935-Treble Chorus,Glory  Hallelujah  the Saints Go Marchin' In,Traditional/Gilpin,
935-Treble Chorus,El Coqui from Three A Cappella Folk Songs from around the World,Puerto Rican Folk Song/arr. Winebrenner,
935-Treble Chorus,Cirandeiro,Anon./Green,
935-Treble Chorus,Long  Long Ago (12030) (a cappella),Anon. or Trad./Leavitt,
935-Treble Chorus,3. Nevideli jste tu me panenky? (from Jede  jede: 3 Czech Partner Songs),Smisek,
935-Treble Chorus,Over the Sea to Skye (12092) (SA) (accomp),McLeod/Eilers,
