,count,title,composer,event,specification,grade,average std dev above mean,average uil score,average score above expected
935-2-35368,2,"Lo, How a Rose",Praetorius,Treble Chorus,(SSA) (opt harp) (opt piano) (a cappella),2,0.1268254551047805,1.0,0.24084933100639905
931-5-33205,2,Hushaby,Traditional,Mixed Chorus,(SATB divisi) (unaccomp) (a cappella),5,0.1268254551047805,1.335,-0.09415066899360092
935-3-28814,2,How Can I Keep from Singing,Anon. or Trad.,Treble Chorus,(SSA) (accomp),3,0.022701879210192955,1.0,0.3193784683684795
931-4-21582,2,Kyrie (from Missa Brevis in Bb Major),Mozart,Mixed Chorus,(Latin) (solo quartet) (piano or string quartet) (accomp),4,-0.514434554479392,2.67,-1.0224108293940695
931-5-35347,2,O Vos Omnes,Wall,Mixed Chorus,(SATB) (a cappella),5,0.1268254551047805,1.0,0.24084933100639905
933-5-22299,2,Seeing Nellie Home,Fletcher,Tenor-Bass Chorus,(a cappella),5,-0.08153073844559877,1.0,0.3239467940595747
933-3-35253,2,Silent Snowfall,Farnell,Tenor-Bass Chorus,(T(T)B) (accomp),3,0.022701879210192955,1.165,0.15437846836847946
931-3-21354,2,Laudate Dominum Omnes Gentes,Vivaldi,Mixed Chorus,(Latin) (accomp),3,0.022701879210192955,1.0,0.3193784683684795
933-3-27764,2,Ol' Ark's a-Moverin',Anon. or Trad.,Tenor-Bass Chorus,(TTBB) (accomp),3,0.1268254551047805,1.0,0.24084933100639905
931-5-31052,2,Come Sleep,Brinsmead,Mixed Chorus,(SATB) (a cappella),5,-0.2898869319959778,1.0,0.4070442571127504
935-3-37940,2,Sisi Ni Moja,Narverud,Treble Chorus,(djembe REQUIRED) (opt descant) (accomp),3,-0.2898869319959778,1.165,0.24204425711275035
933-1-21983,2,Men of Iwo Jima,Siltman,Tenor-Bass Chorus,(a cappella),1,0.022701879210192955,2.335,-1.0156215316315205
935-5-23118,2,The Lamb,Harris,Treble Chorus,(sop solo) (a cappella),5,-0.418315936092039,1.0,0.5229251288269172
933-2-34517,2,Travel,Beery,Tenor-Bass Chorus,(optional train whistle) (accomp),2,-0.056261622019328605,1.0,0.34205192558664876
931-5-21840,2,Alles hat seine Zeit,Haydn,Mixed Chorus,(German) (accomp),5,0.022701879210192955,1.165,0.15437846836847946
931-4-21564,2,Wind,Jennings,Mixed Chorus,(accomp),4,0.022701879210192955,1.0,0.3193784683684795
931-5-21868,2,What Sweeter Music,Rutter,Mixed Chorus,(keyboard) (accomp),5,0.022701879210192955,1.165,0.15437846836847946
